path,title,cluster,score,words,internal_links,incoming,issues
"/about-us.html","About Us | Florida Cash House Buyers","trust","93","890","37","735","Meta description length"
"/alachua-county-commercial-properties.html","We Buy Commercial Property in Alachua County, FL | Multi-Family and More","situation","86","1426","47","27","Title length; Meta description length"
"/alachua-county-divorce.html","Sell Fast in Alachua County During Divorce","situation","100","1205","46","20",""
"/alachua-county-foreclosure.html","Sell Fast in Alachua County Before Foreclosure","situation","100","1230","46","21",""
"/alachua-county-inherited-property.html","Sell Inherited House Fast in Alachua County","situation","100","1218","46","21",""
"/alachua-county-probate.html","Sell Probate House Fast in Alachua County","situation","100","1203","46","20",""
"/alachua-county-rental.html","Sell Rental Fast in Alachua County | Landlord Exit","situation","100","1224","46","21",""
"/alachua-county-repairs.html","Sell Fast in Alachua County With Major Repairs | As-Is","situation","100","1248","46","21",""
"/alachua-county-urgent-sale.html","Sell Fast in Alachua County on a Tight Timeline","situation","100","1227","46","20",""
"/alachua-county-vacant-home.html","Sell Vacant House Fast in Alachua County","situation","100","1217","46","20",""
"/alachua-county.html","Sell My Home Fast in Alachua County, FL | As-Is Sale Options","location hub","100","2114","63","44",""
"/baker-county-commercial-properties.html","We Buy Commercial Property in Baker County, FL | Multi-Family and More","situation","86","1370","45","20","Title length; Meta description length"
"/baker-county-divorce.html","Sell Fast in Baker County During Divorce","situation","100","1156","44","20",""
"/baker-county-foreclosure.html","Sell Fast in Baker County Before Foreclosure","situation","100","1181","44","20",""
"/baker-county-inherited-property.html","Sell Inherited House Fast in Baker County","situation","100","1169","44","20",""
"/baker-county-probate.html","Sell Probate House Fast in Baker County","situation","100","1154","44","20",""
"/baker-county-rental.html","Sell Rental Fast in Baker County | Landlord Exit","situation","100","1171","44","20",""
"/baker-county-repairs.html","Sell Fast in Baker County With Major Repairs | As-Is","situation","100","1197","44","20",""
"/baker-county-urgent-sale.html","Sell Fast in Baker County on a Tight Timeline","situation","100","1178","44","20",""
