"file","page_type","bucket","current_indexation_risk","recommended_action","reason"
"about-us.html","core service page","A","Low","Keep indexable now","Core conversion or discovery page with clear statewide business relevance."
"alachua-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"alachua-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"alachua-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"alachua-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"alachua-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"alachua-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"alachua-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"alachua-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"alachua-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"alachua-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"baker-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"baker-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"baker-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"baker-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"baker-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"baker-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"baker-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"baker-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"baker-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"baker-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"bay-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"bay-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bay-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bay-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bay-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bay-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bay-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bay-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bay-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bay-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"blog.html","blog page","B","Medium","Improve before indexable","Blog hub needs stronger editorial depth, but it can remain indexable once weak trust links are de-emphasized."
"bradford-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"bradford-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bradford-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bradford-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bradford-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bradford-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bradford-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bradford-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bradford-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"bradford-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"brevard-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"brevard-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"brevard-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"brevard-county-inherited-property.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"brevard-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"brevard-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"brevard-county-repairs.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"brevard-county-urgent-sale.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"brevard-county-vacant-home.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"brevard-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"broward-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"broward-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"broward-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"broward-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"broward-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"broward-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"broward-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"broward-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"broward-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"broward-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"calhoun-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"calhoun-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"calhoun-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"calhoun-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"calhoun-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"calhoun-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"calhoun-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"calhoun-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"calhoun-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
